小学名称,年份,升学总人数,Band 1人数,Band 1比例,主要升学中学及Band信息
聖公會仁立紀念小學,2024,120,67,55.83%,聖公會林護紀念中學(Band 1A):29人; 佛教善德英文中學(Band 1A):2人; 聖保羅男女中學(Band 1A):1人; 協恩中學(Band 1A):1人; 聖保羅書院(Band 1A):1人
聖公會仁立紀念小學,2025,120,73,60.83%,聖公會林護紀念中學(Band 1A):27人; 佛教善德英文中學(Band 1A):2人; 聖保羅男女中學(Band 1A):1人; 拔萃女書院(Band 1A):1人; 德望學校(Band 1A):2人
樂善堂梁銶琚學校,2025,120,35,29.17%,保良局百周年李兆忠紀念中學(Band 1A):2人; 天主教崇德英文書院(Band 1A):5人; 香港九龍塘基督教中華宣道會陳瑞芝紀念中學(Band 1B):1人; 保良局顏寶鈴書院(Band 1B):1人; 香港神託會主辦馬錦明慈善基金馬可賓紀念中學(Band 1B):1人
光明學校,2025,96,43,44.79%,德望學校(Band 1A):1人; 保良局董玉娣中學(Band 1A):1人; 順德聯誼總會梁銶琚中學(Band 1A):2人; 天主教崇德英文書院(Band 1A):5人; 香港管理專業協會李國寶中學(Band 1B):1人
保良局蕭漢森小學,2025,96,51,53.12%,浸信會呂明才中學(Band 1A):2人; 沙田崇真中學(Band 1A):1人; 聖公會曾肇添中學(Band 1A):1人; 聖公會莫壽增會督中學(Band 1A):1人; 沙田蘇浙公學(Band 1B):7人
聖公會基福小學,2025,144,68,47.22%,協恩中學(Band 1A):1人; 聖公會林護紀念中學(Band 1A):1人; 聖保羅書院(Band 1A):1人; 英華書院(Band 1A):2人; 寶血會上智英文書院(Band 1A):3人
蘇浙小學校,2024,144,102,70.83%,聖保羅男女中學(Band 1A):2人; 庇理羅士女子中學(Band 1A):10人; 張祝珊英文中學(Band 1A):16人; 香港中國婦女會中學(Band 1A):17人; 協恩中學(Band 1A):1人
蘇浙小學校,2025,144,118,81.94%,皇仁書院(Band 1A):1人; 庇理羅士女子中學(Band 1A):18人; 張祝珊英文中學(Band 1A):16人; 香港中國婦女會中學(Band 1A):19人; 協恩中學(Band 1A):1人
中華基督教會協和小學（長沙灣）,2024,120,67,55.83%,拔萃女書院(Band 1A):1人; 英華女學校(Band 1A):1人; 英華書院(Band 1A):1人; 華英中學(Band 1A):1人; 聖公會林護紀念中學(Band 1A):1人
中華基督教會協和小學（長沙灣）,2025,120,75,62.5%,聖保羅男女中學(Band 1A):1人; 拔萃女書院(Band 1A):1人; 英華女學校(Band 1A):1人; 英華書院(Band 1A):1人; 華英中學(Band 1A):1人
培基小學,2025,96,74,77.08%,沙田崇真中學(Band 1A):11人; 聖公會曾肇添中學(Band 1A):8人; 浸信會呂明才中學(Band 1A):8人; 培僑書院(Band 1A):1人; 聖保羅男女中學(Band 1A):1人
聖公會油塘基顯小學,2025,144,74,51.39%,聖言中學(Band 1A):5人; 聖馬可中學(Band 1A):3人; 張祝珊英文中學(Band 1A):1人; 香港中國婦女會中學(Band 1A):1人; 瑪利諾修院學校(中學部)(Band 1A):1人
循理會白普理基金循理小學,2024,96,50,52.08%,沙田崇真中學(Band 1A):7人; 浸信會呂明才中學(Band 1A):3人; 滙基書院（東九龍）(Band 1B):1人; 沙田循道衞理中學(Band 1B):12人; 沙田培英中學(Band 1B):4人
循理會白普理基金循理小學,2025,96,35,36.46%,英華書院(Band 1A):1人; 沙田崇真中學(Band 1A):5人; 浸信會呂明才中學(Band 1A):2人; 沙田培英中學(Band 1B):5人; 沙田循道衞理中學(Band 1B):10人
浸信宣道會呂明才小學,2023,120,65,54.17%,聖言中學(Band 1A):13人; 迦密中學(Band 1A):2人; 英華書院(Band 1A):2人; 保良局第一張永慶中學(Band 1A):2人; 喇沙書院(Band 1A):1人
