小学名称,年份,升学总人数,Band 1人数,Band 1比例,主要升学中学及Band信息
救世軍中原慈善基金皇后山學校,2025,120,21,17.5%,香港道教聯合會鄧顯紀念中學(Band 1A):1人; 風采中學(Band 1B):6人; 東華三院甲寅年總理中學(Band 1B):1人; 田家炳中學(Band 1B):1人; 東華三院李嘉誠中學(Band 1C):9人
樂善堂梁銶琚學校(分校),2025,105,16,15.24%,英華書院(Band 1A):1人; 天主教崇德英文書院(Band 1A):1人; 保良局顏寶鈴書院(Band 1B):1人; 基督教香港信義會元朗信義中學(Band 1B):5人; 香港青年協會李兆基書院(Band 1C):2人
錦田公立蒙養學校,2025,24,4,16.67%,聖公會白約翰會督中學(Band 1C):3人; 中華基督教會基元中學(Band 1C):1人; 妙法寺劉金龍中學(Band 2A):1人; 中學校友會鄧兆棠中學(Band 2B):1人; 十八鄉鄉事委員會公益社中學(Band 2B):1人
五邑工商總會學校,2024,72,13,18.06%,張祝珊英文中學(Band 1A):1人; 寶血會上智英文書院(Band 1A):1人; 中華基督教會銘賢書院(Band 1B):3人; 香港四邑商工總會黃棣珊紀念中學(Band 1B):4人; 德雅中學(Band 1C):3人
五邑工商總會學校,2025,72,12,16.67%,寶血會上智英文書院(Band 1A):2人; 中華基督教會銘賢書院(Band 1B):2人; 香港四邑商工總會黃棣珊紀念中學(Band 1B):3人; 香港管理專業協會李國寶中學(Band 1B):1人; 聖母玫瑰書院(Band 1B):1人
杯澳公立學校,2025,24,2,8.33%,庇理羅士女子中學(Band 1A):1人; 真光女書院(Band 1B):1人; 保良局馬錦明夫人章馥仙中學(Band 2A):2人; 香港鄧鏡波書院(Band 2B):1人; 港青基信書院(Band 2C):4人
東莞工商總會張煌偉小學,2024,96,13,13.54%,聖公會曾肇添中學(Band 1A):1人; 浸信會呂明才中學(Band 1A):1人; 沙田循道衞理中學(Band 1B):1人; 沙田官立中學(Band 1B):1人; 沙田蘇浙公學(Band 1B):2人
東莞工商總會張煌偉小學,2025,96,11,11.46%,沙田崇真中學(Band 1A):1人; 浸信會呂明才中學(Band 1A):1人; 五旬節林漢光中學(Band 1B):1人; 天主教郭得勝中學(Band 1B):4人; 沙田循道衞理中學(Band 1B):1人
世界龍岡學校黃耀南小學,总体,0,0,0%,无年度数据
东华三院罗裕积小学,总体,0,0,0%,无年度数据
中华基督教会基全小学,总体,0,0,0%,无年度数据
中华基督教会湾仔堂基道小学,总体,0,0,0%,无年度数据
中華傳道會呂明才小學,2025,96,0,0.0%,佛教善德英文中學(Band 1A):未知人; 觀塘瑪利諾書院(Band 1B):未知人; 香港神託會培基書院(Band 1B):未知人; 中華傳道會安柱中學(Band 1B):未知人; 保祿六世書院(Band 1B):未知人
中華傳道會許大同學校,2025,72,0,0.0%,保祿六世書院(Band 1B):未知人; 天主教母佑會蕭明中學(Band 1B):未知人; 東華三院黃笏南中學(Band 1B):未知人; 順德聯誼總會李兆基中學(Band 1C):未知人; 東華三院陳兆民中學(Band 1C):未知人
中華基督教會全完第一小學,2025,24,0,0.0%,中華傳道會安柱中學(Band 1B):未知人; 保祿六世書院(Band 1B):未知人; 中華基督教會銘賢書院(Band 1B):未知人; 真光女書院(Band 1B):未知人; 可風中學（嗇色園主辦）(Band 1B):未知人
中華基督教會基慈小學,总体,0,0,0%,无年度数据
中華基督教會基慧小學,2025,96,0,0.0%,英皇書院(Band 1A):未知人; 荃灣官立中學(Band 1A):未知人; 浸信會呂明才中學(Band 1A):未知人; 中華傳道會安柱中學(Band 1B):未知人; 寶安商會王少清中學(Band 1B):未知人
中華基督教會基法小學,2025,48,0,0.0%,聖馬可中學(Band 1A):未知人; 聖言中學(Band 1A):未知人; 香港管理專業協會李國寶中學(Band 1B):未知人; 觀塘瑪利諾書院(Band 1B):未知人; 藍田聖保祿中學(Band 1B):未知人
中華基督教會基真小學,2025,120,0,0.0%,佛教善德英文中學(Band 1A):未知人; 基督教崇真中學(Band 1B):未知人; 保良局顏寶鈴書院(Band 1B):未知人; 中華基督教會銘賢書院(Band 1B):未知人; 中華傳道會安柱中學(Band 1B):未知人
中華基督教會基華小學,总体,0,0,0%,无年度数据
九龍城浸信會禧年小學,总体,0,0,0%,无年度数据
九龍城浸信會禧年（恩平）小學,总体,0,0,0%,无年度数据
九龍婦女福利會李炳紀念學校,2023,48,0,0.0%,迦密中学(Band 1A):未知人; 新生命教育协会吕郭碧凤中学(Band 1B):未知人; 中华基督教会铭基书院(Band 1C):未知人; 基督教女青年会丘佐荣中学(Band 1C):未知人; 循道中学(Band 1C):未知人
九龍婦女福利會李炳紀念學校,2024,48,0,0.0%,观塘圣若瑟书院(Band 1B):未知人; 中华基督教会铭基书院(Band 1C):未知人; 循道中学(Band 1C):未知人; 何文田官立中学(Band 2B):未知人; 顺德联谊总会胡兆炽中学(Band 2B):未知人
九龍婦女福利會李炳紀念學校,2025,48,0,0.0%,华英中学(Band 1A):未知人; 圣士提反书院(Band 1B):未知人; 真光女书院(Band 1B):未知人; 圣芳济书院(Band 1B):未知人; 基督教香港信义会信义中学(Band 2B):未知人
九龍灣聖若翰天主教小學,2025,120,0,0.0%,拔萃女書院(Band 1A):未知人; 聖保羅書院(Band 1A):未知人; 協恩中學(Band 1A):未知人; 聖言中學(Band 1A):未知人; 華英中學(Band 1A):未知人
亞斯理衞理小學,2023,96,0,0.0%,佛教善德英文中學(Band 1A):未知人; 保祿六世書院(Band 1B):未知人; 順德聯誼總會李兆基中學(Band 1C):未知人; 東華三院陳兆民中學(Band 1C):未知人; 東華三院李嘉誠中學 (北區)(Band 1C):未知人
仁濟醫院趙曾學韞小學,2025,48,0,0.0%,聖公會林護紀念中學(Band 1A):未知人; 保祿六世書院(Band 1B):未知人; 仁濟醫院王華湘中學(Band 1C):未知人; 中華基督教會全完中學(Band 2A):未知人; 東華三院吳祥川紀念中學(Band 2A):未知人
伊斯蘭鮑伯濤紀念小學,总体,0,0,0%,无年度数据
佐敦穀聖若瑟天主教小學,2025,96,0,0.0%,聖保羅書院(Band 1A):未知人; 聖言中學(Band 1A):未知人; 觀塘瑪利諾書院(Band 1B):未知人; 藍田聖保祿中學(Band 1B):未知人; 東華三院黃笏南中學(Band 1B):未知人
佐敦道官立小学,总体,0,0,0%,无年度数据
佛教慈敬學校,2025,96,0,0.0%,華英中學(Band 1A):未知人; 聖言中學(Band 1A):未知人; 迦密中學(Band 1A):未知人; 旅港開平商會中學(Band 1A):未知人; 順利天主教中學(Band 1B):未知人
保良局王賜豪（田心穀）小學,总体,0,0,0%,无年度数据
保良局錦泰小學,总体,0,0,0%,无年度数据
保良局陳南昌夫人小學,总体,0,0,0%,无年度数据
保良局陳溢小學,2025,96,0,0.0%,佛教善德英文中學(Band 1A):未知人; 沙田崇真中學(Band 1A):未知人; 拔萃男書院(Band 1B):未知人; 中華傳道會安柱中學(Band 1B):未知人; 聖芳濟書院(Band 1B):未知人
保良局雨川小學,总体,0,0,0%,无年度数据
嗇色園主辦可信學校,2025,48,0,0.0%,寶安商會王少清中學(Band 1B):未知人; 荃灣公立何傳耀紀念中學(Band 1B):未知人; 廖寶珊紀念書院(Band 1C):未知人; 順德聯誼總會李兆基中學(Band 1C):未知人; 中華基督教會全完中學(Band 2A):未知人
嗇色園主辦可立小學,2025,96,0,0.0%,拔萃女書院(Band 1A):未知人; 喇沙書院(Band 1A):未知人; 迦密中學(Band 1A):未知人; 聖言中學(Band 1A):未知人; 旅港開平商會中學(Band 1A):未知人
嘉諾撒小學,总体,0,0,0%,无年度数据
嘉諾撒小學（新蒲崗）,2025,144,0,0.0%,保良局第一張永慶中學(Band 1A):未知人; 聖言中學(Band 1A):未知人; 迦密中學(Band 1A):未知人; 寶血會上智英文書院(Band 1A):未知人; 荃灣官立中學(Band 1A):未知人
坪石天主教小學,2025,96,0,0.0%,聖言中學(Band 1A):未知人; 保良局第一張永慶中學(Band 1A):未知人; 藍田聖保祿中學(Band 1B):未知人; 聖傑靈女子中學(Band 1B):未知人; 觀塘瑪利諾書院(Band 1B):未知人
基督教香港信義會深信學校,总体,0,0,0%,无年度数据
基督教香港信義會禾輋信義學校,总体,0,0,0%,无年度数据
基督教香港信義會葵盛信義學校,2025,96,0,0.0%,佛教善德英文中學(Band 1A):未知人; 天主教母佑會蕭明中學(Band 1B):未知人; 中華傳道會安柱中學(Band 1B):未知人; 順德聯誼總會李兆基中學(Band 1C):未知人; 東華三院陳兆民中學(Band 1C):未知人
基督教香港信義會馬鞍山信義學校,总体,0,0,0%,无年度数据
大坑東宣道小學,2025,96,0,0.0%,华英中学(Band 1A):未知人; 宝血会上智英文书院(Band 1A):未知人; 何明华会督银禧中学(Band 1B):未知人; 中华基督教会铭贤书院(Band 1B):未知人; 香港四邑商工总会黄棣珊纪念中学(Band 1B):未知人
天主教伍華小學,总体,0,0,0%,无年度数据
天主教佑華小學,2025,96,0,0.0%,聖言中學(Band 1A):未知人; 聖保祿中學 (跑馬地)(Band 1B):未知人; 藍田聖保祿中學(Band 1B):未知人; 順利天主教中學(Band 1B):未知人; 觀塘瑪利諾書院(Band 1B):未知人
天主教博智小學,总体,0,0,0%,无年度数据
天主教柏德學校,2025,120,0,0.0%,保良局第一張永慶中學(Band 1A):未知人; 沙田崇真中學(Band 1A):未知人; 迦密中學(Band 1A):未知人; 華英中學(Band 1A):未知人; 聖言中學(Band 1A):未知人
天主教聖華學校,总体,0,0,0%,无年度数据
天佑小學,2025,48,0,0.0%,荃灣官立中學(Band 1A):未知人; 佛教善德英文中學(Band 1A):未知人; 荃灣公立何傳耀紀念中學(Band 1B):未知人; 中華傳道會安柱中學(Band 1B):未知人; 寶安商會王少清中學(Band 1B):未知人
寶血會嘉靈學校,2025,120,0,0.0%,嘉諾撒聖瑪利書院(Band 1A):未知人; 保良局第一張永慶中學(Band 1A):未知人; 聖言中學(Band 1A):未知人; 寶血會上智英文書院(Band 1A):未知人; 真光女書院(Band 1B):未知人
崇真小學暨幼稚園,总体,0,0,0%,无年度数据
嶺南大學香港同學會小學,总体,0,0,0%,无年度数据
彩雲聖若瑟小學,总体,0,0,0%,无年度数据
循理會美林小學,总体,0,0,0%,无年度数据
德雅小學,2025,48,0,0.0%,拔萃女書院(Band 1A):未知人; 寶血會上智英文書院(Band 1A):未知人; 聖士提反女子中學(Band 1A):未知人; 協恩中學(Band 1A):未知人; 聖公會林護紀念中學(Band 1A):未知人
慈幼葉漢千禧小學,2025,120,0,0.0%,佛教善德英文中學(Band 1A):未知人; 迦密柏雨中學(Band 1A):未知人; 中華傳道會安柱中學(Band 1B):未知人; 天主教母佑會蕭明中學(Band 1B):未知人; 保祿六世書院(Band 1B):未知人
慈幼葉漢小學,2025,96,0,0.0%,佛教善德英文中學(Band 1A):未知人; 中華傳道會安柱中學(Band 1B):未知人; 保祿六世書院(Band 1B):未知人; 天主教母佑會蕭明中學(Band 1B):未知人; 寶安商會王少清中學(Band 1B):未知人
慈雲山天主教小學,总体,0,0,0%,无年度数据
慈雲山聖文德天主教小學,2025,120,0,0.0%,保良局第一張永慶中學(Band 1A):未知人; 保良局何蔭棠中學(Band 1B):未知人; 聖公會林裘謀中學(Band 1B):未知人; 觀塘瑪利諾書院(Band 1B):未知人; 德愛中學(Band 1C):未知人
救恩學校,2021,48,0,0.0%,協恩中學(Band 1A):未知人; 港大同學會書院(Band 1A):未知人; 聖公會林護紀念中學(Band 1A):未知人; 聖保羅男女中學(Band 1A):未知人; 聖士提反女子中學(Band 1A):未知人
救恩學校,2025,48,0,0.0%,港大同學會書院(Band 1A):未知人; 聖保羅男女中學(Band 1A):未知人; 聖保羅書院(Band 1A):未知人; 聖士提反女子中學(Band 1A):未知人; 英華女學校(Band 1A):未知人
李鄭屋官立小學,总体,0,0,0%,无年度数据
東莞同鄉會方樹泉學校,总体,0,0,0%,无年度数据
東華三院周演森小學,总体,0,0,0%,无年度数据
東華三院蔡榮星小學,总体,0,0,0%,无年度数据
東華三院高可寧紀念小學,总体,0,0,0%,无年度数据
東華三院黃士心小學,2025,96,0,0.0%,聖公會林護紀念中學(Band 1A):未知人; 佛教善德英文中學(Band 1A):未知人; 中華傳道會安柱中學(Band 1B):未知人; 天主教母佑會蕭明中學(Band 1B):未知人; 保祿六世書院(Band 1B):未知人
梨木樹天主教小學,2025,96,0,0.0%,拔萃女書院(Band 1A):未知人; 天主教崇德英文書院(Band 1A):未知人; 荃灣官立中學(Band 1A):未知人; 保祿六世書院(Band 1B):未知人; 寶安商會王少清中學(Band 1B):未知人
樂善堂楊仲明學校,2025,96,0,0.0%,聖言中學(Band 1A):未知人; 張祝珊英文中學(Band 1A):未知人; 迦密中學(Band 1A):未知人; 華英中學(Band 1A):未知人; 保良局第一張永慶中學(Band 1A):未知人
沙田圍胡素貞博士紀念學校,总体,0,0,0%,无年度数据
沙田官立小學,总体,0,0,0%,无年度数据
沙田崇真學校,总体,0,0,0%,无年度数据
海壩街官立小學,2025,120,0,0.0%,聖保羅男女中學(Band 1A):未知人; 聖公會林護紀念中學(Band 1A):未知人; 荃灣官立中學(Band 1A):未知人; 拔萃男書院(Band 1B):未知人; 伊利沙伯中學(Band 1B):未知人
瑪利諾神父教會學校（小學部）,总体,0,0,0%,无年度数据
真鐸學校,总体,0,0,0%,无年度数据
石籬天主教小學,2025,96,0,0.0%,聖公會林護紀念中學(Band 1A):未知人; 佛教善德英文中學(Band 1A):未知人; 荃灣官立中學(Band 1A):未知人; 中華傳道會安柱中學(Band 1B):未知人; 天主教母佑會蕭明中學(Band 1B):未知人
石籬聖若望天主教小學,2025,72,0,0.0%,佛教善德英文中學(Band 1A):未知人; 中華傳道會安柱中學(Band 1B):未知人; 保祿六世書院(Band 1B):未知人; 王肇枝中學(Band 1B):未知人; 優才（楊殷有娣）書院(Band 1B):未知人
福德學校,总体,0,0,0%,无年度数据
秀明小學,2025,120,0,0.0%,喇沙書院(Band 1A):未知人; 張祝珊英文中學(Band 1A):未知人; 華英中學(Band 1A):未知人; 旅港開平商會中學(Band 1A):未知人; 聖言中學(Band 1A):未知人
秀茂坪天主教小學,2025,120,0,0.0%,聖言中學(Band 1A):未知人; 聖保祿中學 (跑馬地)(Band 1B):未知人; 聖傑靈女子中學(Band 1B):未知人; 迦密主恩中學(Band 1B):未知人; 藍田聖保祿中學(Band 1B):未知人
聖公會九龍灣基樂小學,2025,120,0,0.0%,聖公會曾肇添中學(Band 1A):未知人; 聖羅撒書院(Band 1B):未知人; 伊利沙伯中學(Band 1B):未知人; 聖傑靈女子中學(Band 1B):未知人; 觀塘瑪利諾書院(Band 1B):未知人
聖公會基愛小學,2023,120,0,0.0%,保良局第一張永慶中學(Band 1A):未知人; 中華基督教會銘賢書院(Band 1B):未知人; 香港四邑商工總會黃棣珊紀念中學(Band 1B):未知人; 聖母玫瑰書院(Band 1B):未知人; 九龍華仁書院(Band 1B):未知人
聖公會基樂小學,2024,96,0,0.0%,聖言中學(Band 1A):未知人; 藍田聖保祿中學(Band 1B):未知人; 聖傑靈女子中學(Band 1B):未知人; 觀塘瑪利諾書院(Band 1B):未知人; 順利天主教中學(Band 1B):未知人
聖公會聖約翰曾肇添小學,2025,144,0,0.0%,保良局第一張永慶中學(Band 1A):未知人; 聖馬可中學(Band 1A):未知人; 聖言中學(Band 1A):未知人; 皇仁書院(Band 1A):未知人; 藍田聖保祿中學(Band 1B):未知人
聖博德天主教小學（蒲崗村道）,总体,0,0,0%,无年度数据
聖博德學校,总体,0,0,0%,无年度数据
聖嘉勒小學,2024,72,0,0.0%,協恩中學(Band 1A):未知人; 港大同學會書院(Band 1A):未知人; 聖士提反女子中學(Band 1A):未知人; 聖保羅男女中學(Band 1A):未知人; 聖保祿學校(Band 1A):未知人
聖嘉勒小學,2025,72,0,0.0%,協恩中學(Band 1A):未知人; 聖保羅男女中學(Band 1A):未知人; 寶血會上智英文書院(Band 1A):未知人; 港大同學會書院(Band 1A):未知人; 聖士提反女子中學(Band 1A):未知人
聖家學校,2025,24,0,0.0%,英皇書院(Band 1A):未知人; 英華女學校(Band 1A):未知人; 港大同學會書院(Band 1A):未知人; 高主教書院(Band 1B):未知人; 聖嘉勒女書院(Band 1B):未知人
聖愛德華天主教小學,2024,120,0,0.0%,皇仁書院(Band 1A):未知人; 張祝珊英文中學(Band 1A):未知人; 聖保祿學校(Band 1A):未知人; 匯基書院(東九龍)(Band 1B):未知人; 迦密主恩中學(Band 1B):未知人
聖愛德華天主教小學,2025,120,0,0.0%,聖馬可中學(Band 1A):未知人; 聖言中學(Band 1A):未知人; 聖芳濟書院(Band 1B):未知人; 匯基書院(東九龍)(Band 1B):未知人; 聖羅撒書院(Band 1B):未知人
聖文德天主教小學,2025,120,0,0.0%,瑪利諾修院學校(中學部)(Band 1A):未知人; 協恩中學(Band 1A):未知人; 英華書院(Band 1A):未知人; 旅港開平商會中學(Band 1A):未知人; 寶血會上智英文書院(Band 1A):未知人
聖方濟愛德小學,总体,0,0,0%,无年度数据
聖母無玷聖心學校,总体,0,0,0%,无年度数据
聖若翰天主教小學,2025,96,0,0.0%,寶血會上智英文書院(Band 1A):未知人; 聖言中學(Band 1A):未知人; 香島中學 (九龍塘)(Band 1B):未知人; 聖傑靈女子中學(Band 1B):未知人; 藍田聖保祿中學(Band 1B):未知人
荃灣公立何傳耀紀念小學,2025,96,0,0.0%,荃灣官立中學(Band 1A):未知人; 聖公會林護紀念中學(Band 1A):未知人; 荃灣公立何傳耀紀念中學(Band 1B):未知人; 聖羅撒書院(Band 1B):未知人; 寶安商會王少清中學(Band 1B):未知人
荃灣天主教小學,2025,72,0,0.0%,協恩中學(Band 1A):未知人; 聖公會林護紀念中學(Band 1A):未知人; 保良局第一張永慶中學(Band 1A):未知人; 佛教善德英文中學(Band 1A):未知人; 寶安商會王少清中學(Band 1B):未知人
荃灣潮州公學,2024,72,0,0.0%,荃灣官立中學(Band 1A):未知人; 聖公會林護紀念中學(Band 1A):未知人; 沙田蘇浙公學(Band 1B):未知人; 荃灣公立何傳耀紀念中學(Band 1B):未知人; 寶安商會王少清中學(Band 1B):未知人
觀塘官立小學,2025,96,0,0.0%,聖言中學(Band 1A):未知人; 聖公會曾肇添中學(Band 1A):未知人; 藍田聖保祿中學(Band 1B):未知人; 觀塘瑪利諾書院(Band 1B):未知人; 聖傑靈女子中學(Band 1B):未知人
觀塘官立小學（秀明道）,2025,120,0,0.0%,聖言中學(Band 1A):未知人; 聖馬可中學(Band 1A):未知人; 聖傑靈女子中學(Band 1B):未知人; 藍田聖保祿中學(Band 1B):未知人; 順利天主教中學(Band 1B):未知人
路德會沙崙學校,总体,0,0,0%,无年度数据
軒尼詩道官立小學,2025,120,0,0.0%,皇仁書院(Band 1A):未知人; 庇理羅士女子中學(Band 1A):未知人; 聖保羅書院(Band 1A):未知人; 喇沙書院(Band 1A):未知人; 聖保祿學校(Band 1A):未知人
迦密愛禮信小學,总体,0,0,0%,无年度数据
迦密梁省德學校,2025,96,0,0.0%,聖言中學(Band 1A):未知人; 景嶺書院(Band 1B):未知人; 聖傑靈女子中學(Band 1B):未知人; 中華基督教會協和書院(Band 1B):未知人; 香港神託會培基書院(Band 1B):未知人
郭怡雅神父紀念學校,总体,0,0,0%,无年度数据
長沙灣天主教小學 ,总体,0,0,0%,无年度数据
閩僑小學,2025,96,0,0.0%,德望學校(Band 1A):未知人; 保良局第一張永慶中學(Band 1A):未知人; 迦密中學(Band 1A):未知人; 聖言中學(Band 1A):未知人; 藍田聖保祿中學(Band 1B):未知人
青衣商會小學,2025,24,0,0.0%,天主教母佑會蕭明中學(Band 1B):未知人; 順德聯誼總會李兆基中學(Band 1C):未知人; 樂善堂顧超文中學(Band 2B):未知人; 中華傳道會李賢堯紀念中學(Band 2C):未知人; 皇仁舊生會中學(Band 2):未知人
香港中文大學校友會聯會張煊昌學校,2025,120,0,0.0%,聖公會曾肇添中學(Band 1A):未知人; 基督教崇真中學(Band 1B):未知人; 聖公會林裘謀中學(Band 1B):未知人; 香港神託會培基書院(Band 1B):未知人; 沙田培英中學(Band 1B):未知人
香港九龍塘基督教中華宣道會臺山陳元喜小學,总体,0,0,0%,无年度数据
香港九龍塘基督教中華宣道會陳元喜小學,总体,0,0,0%,无年度数据
香港真光中學小學部,2025,0,0,0%,87% 进入band1(未知):未知人
香港道教聯合會純陽小學,总体,0,0,0%,无年度数据
馬鞍山聖若瑟小學,2025,96,0,0.0%,聖公會曾肇添中學(Band 1A):未知人; 沙田崇真中學(Band 1A):未知人; 天主教崇德英文書院(Band 1A):未知人; 九龍真光中學(Band 1B):未知人; 沙田官立中學(Band 1B):未知人
黃大仙官立小學,总体,0,0,0%,无年度数据
